tid1,thana1,school_name,schoolCode1,schoolCode2,school_name,tid2,thana2,sameCnt,dsSheet1,mongo1,dsSheet2,mongo2,distMob1,distMob2,received1,received2,Rcount1,Rcount2,pct1,pct1,smaeThana
15,"Lakhai,Hobigonj",MURAKARI -1,91603030508(PROCESSED),99603030204(PROCESSED),ALLI HASAN CHAND RAHMAN PRIMARY SCHOOL,15,"Lakhai,Hobigonj",37,207,207,186,185,202,179,207,186,0,0,18.3168,20.6704,TRUE
15,"Lakhai,Hobigonj",ALLI HASAN CHAND RAHMAN PRIMARY SCHOOL,99603030204(PROCESSED),91603030508(PROCESSED),MURAKARI -1,15,"Lakhai,Hobigonj",37,186,185,207,207,179,202,186,207,0,0,20.6704,18.3168,TRUE
202,"Shajadpur,Sirajgonj",CHOWRA PACHIL PRIMARI GOVT. SCHOOL,91115081002(PROCESSED),91115040307(PROCESSED),BOACHARGATI (20),198,"Chowhali,Sirajgonj",34,143,159,507,508,143,446,143,507,0,0,23.7762,7.6233,FALSE
202,"Shajadpur,Sirajgonj",BHATPARA RPS,99115081305(PROCESSED),91115081109(PROCESSED),HOR DIGHOULIA,202,"Shajadpur,Sirajgonj",24,80,80,336,337,80,326,80,336,0,0,30.0000,7.3620,TRUE
202,"Shajadpur,Sirajgonj",HOR DIGHOULIA,91115081109(PROCESSED),99115081305(PROCESSED),BHATPARA RPS,202,"Shajadpur,Sirajgonj",24,336,337,80,80,326,80,336,80,0,0,7.3620,30.0000,TRUE
208,"Bera,Pabna",NAKALIA J.M,91116050805(PROCESSED),99116050904(PROCESSED),PESSAKOLA RPS,208,"Bera,Pabna",22,313,313,112,113,313,108,313,112,0,0,7.0288,20.3704,TRUE
230,"Soilkupa,Jhenaidah",SARUTIA -DOHARO SOTONTRO MADRASHA,99204050000(PROCESSED),99204059012(PROCESSED),SHAHBARIA RPS,230,"Soilkupa,Jhenaidah",22,99,0,171,171,89,169,99,171,0,0,24.7191,13.0178,TRUE
208,"Bera,Pabna",PESSAKOLA RPS,99116050904(PROCESSED),91116050805(PROCESSED),NAKALIA J.M,208,"Bera,Pabna",22,112,113,313,313,108,313,112,313,0,0,20.3704,7.0288,TRUE
230,"Soilkupa,Jhenaidah",SHAHBARIA RPS,99204059012(PROCESSED),99204050000(PROCESSED),SARUTIA -DOHARO SOTONTRO MADRASHA,230,"Soilkupa,Jhenaidah",22,171,171,99,0,169,89,171,99,0,0,13.0178,24.7191,TRUE
202,"Shajadpur,Sirajgonj",CHAK HORI PUR GOVT. PRIMARY SCHOOL,91115080103(PROCESSED),5115080107(PROCESSED),CHAKHORIPUR SATANTRO AB. MADRASHA,202,"Shajadpur,Sirajgonj",19,137,143,80,80,136,80,137,80,0,0,13.9706,23.7500,TRUE
202,"Shajadpur,Sirajgonj",CHAKHORIPUR SATANTRO AB. MADRASHA,5115080107(PROCESSED),91115080103(PROCESSED),CHAK HORI PUR GOVT. PRIMARY SCHOOL,202,"Shajadpur,Sirajgonj",19,80,80,137,143,80,136,80,137,0,0,23.7500,13.9706,TRUE
210,"Santhia,Pabna",BAYA SATANTRO ENTEDAIE MADRASAH,5116071818(PROCESSED),91116070603(PROCESSED),PANISAIL,210,"Santhia,Pabna",17,42,42,197,196,42,196,42,197,0,0,40.4762,8.6735,TRUE
210,"Santhia,Pabna",PANISAIL,91116070603(PROCESSED),5116071818(PROCESSED),BAYA SATANTRO ENTEDAIE MADRASAH,210,"Santhia,Pabna",17,197,196,42,42,196,42,197,42,0,0,8.6735,40.4762,TRUE
202,"Shajadpur,Sirajgonj",RATANDIA,91115080513(PROCESSED),91115080504(PROCESSED),GALA GOVT. PRIMARI SCHOOL,202,"Shajadpur,Sirajgonj",15,66,66,277,277,50,275,66,277,0,0,30.0000,5.4545,TRUE
202,"Shajadpur,Sirajgonj",GALA GOVT. PRIMARI SCHOOL,91115080504(PROCESSED),91115080513(PROCESSED),RATANDIA,202,"Shajadpur,Sirajgonj",15,277,277,66,66,275,50,277,66,0,0,5.4545,30.0000,TRUE
