tid1,thana1,school_name,schoolCode1,schoolCode2,school_name,tid2,thana2,sameCnt,dsSheet1,mongo1,dsSheet2,mongo2,distMob1,distMob2,received1,received2,Rcount1,Rcount2,pct1,pct1,smaeThana
141,"Dharampasha,Sunamgonj",MIRZAPUR,91601070203(PROCESSED),99601070203(PROCESSED),NOWDHAR PRIMARY SCHOOL,141,"Dharampasha,Sunamgonj",207,221,107,220,221,217,220,221,220,0,0,95.3917,94.0909,TRUE
141,"Dharampasha,Sunamgonj",NOWDHAR PRIMARY SCHOOL,99601070203(PROCESSED),91601070203(PROCESSED),MIRZAPUR,141,"Dharampasha,Sunamgonj",207,220,221,221,107,220,217,220,221,0,0,94.0909,95.3917,TRUE
141,"Dharampasha,Sunamgonj",SYEDPUR GOVT. PRIMARY SCHOOL,91601070206(PROCESSED),91601070503(PROCESSED),BABUPUR GOVT. PRIMARY SCHOOL,141,"Dharampasha,Sunamgonj",183,196,188,188,125,193,188,196,188,0,0,94.8187,97.3404,TRUE
141,"Dharampasha,Sunamgonj",BABUPUR GOVT. PRIMARY SCHOOL,91601070503(PROCESSED),91601070206(PROCESSED),SYEDPUR GOVT. PRIMARY SCHOOL,141,"Dharampasha,Sunamgonj",183,188,125,196,188,188,193,188,196,0,0,97.3404,94.8187,TRUE
124,"Bauphal,Patuakhali",South Kaina RPS,99502060401(PROCESSED),502060401(PENDING),131 NO. HARIHOR KATI ADARSH GOVT PRIMARY SCHOOL,41,"Chirirbandar,Dinajpur",70,72,57,72,72,72,72,72,0,0,0,97.2222,97.2222,FALSE
85,"Shundorgonj,Gaibandha",NAZIMABAD,91108070407(PROCESSED),99108071104(PROCESSED),PARASADUA GIRLS RPS,85,"Shundorgonj,Gaibandha",43,464,404,209,209,448,208,464,209,0,0,9.5982,20.6731,TRUE
85,"Shundorgonj,Gaibandha",PARASADUA GIRLS RPS,99108071104(PROCESSED),91108070407(PROCESSED),NAZIMABAD,85,"Shundorgonj,Gaibandha",43,209,209,464,404,208,448,209,464,0,0,20.6731,9.5982,TRUE
141,"Dharampasha,Sunamgonj",GABI,91601070202(PROCESSED),99601079005(PROCESSED),BONGAVI GOVT PRIMARY SCHOOL,141,"Dharampasha,Sunamgonj",36,293,0,140,140,282,137,293,140,0,0,12.7660,26.2774,TRUE
141,"Dharampasha,Sunamgonj",BONGAVI GOVT PRIMARY SCHOOL,99601079005(PROCESSED),91601070202(PROCESSED),GABI,141,"Dharampasha,Sunamgonj",36,140,140,293,0,137,282,140,293,0,0,26.2774,12.7660,TRUE
85,"Shundorgonj,Gaibandha",Latsala possim para non govt primary school,99108070304(PROCESSED),91108070906(PROCESSED),LATSHALAR  CHAR,85,"Shundorgonj,Gaibandha",28,248,248,161,161,245,137,248,161,0,0,11.4286,20.4380,TRUE
85,"Shundorgonj,Gaibandha",LATSHALAR  CHAR,91108070906(PROCESSED),99108070304(PROCESSED),Latsala possim para non govt primary school,85,"Shundorgonj,Gaibandha",28,161,161,248,248,137,245,161,248,0,0,20.4380,11.4286,TRUE
85,"Shundorgonj,Gaibandha",CHOR HORIPUR RPS,99108071101(PROCESSED),99107039101(PROCESSED),DANGAR CHAR PRIMARY SCHOOL,72,"Chilmari,Kurigram",21,430,430,94,94,408,93,430,94,0,0,5.1471,22.5806,FALSE
