tid1,thana1,school_name,schoolCode1,schoolCode2,school_name,tid2,thana2,sameCnt,dsSheet1,mongo1,dsSheet2,mongo2,distMob1,distMob2,received1,received2,Rcount1,Rcount2,pct1,pct1,smaeThana
410,"Kashba,Brahmonbaria",KHOWRA EAST GOVT. PRIMARY SCHOOL,99405030203(PROCESSED),91405030203(PROCESSED),SHIMRAIL SHATPARA,410,"Kashba,Brahmonbaria",163,184,192,197,270,183,188,184,0,0,0,89.0710,86.7021,TRUE
410,"Kashba,Brahmonbaria",SHIMRAIL SHATPARA,91405030203(PROCESSED),99405030203(PROCESSED),KHOWRA EAST GOVT. PRIMARY SCHOOL,410,"Kashba,Brahmonbaria",163,197,270,184,192,188,183,0,184,0,0,86.7021,89.0710,TRUE
448,"Chatkhil,Noakhali",West Sundarpur Reg. Primary School,99409022201(PROCESSED),99409060412(PROCESSED),Purbo Kutubpur Bottola Registared Primary School,447,"Begumganj,Noakhali",115,117,0,115,0,116,115,117,115,0,0,99.1379,100.0000,FALSE
303,"Barhatta,Netrokona",POSSIM BOR GAWA REGD PRIMARY SCHOOL,99304080603(PROCESSED),99304060510(DISBURSED),KAYRATI NON GOVT. REG PARIMARY SCHOOL,301,"Netrokona sadar,Netrokona",102,104,126,104,104,103,103,104,104,0,0,99.0291,99.0291,FALSE
18,"Madhabpur,Hobigonj",DURGA PUR,91603060708(PROCESSED),91603060401(PROCESSED),RAM PUR,18,"Madhabpur,Hobigonj",38,163,165,161,125,163,145,163,161,0,0,23.3129,26.2069,TRUE
18,"Madhabpur,Hobigonj",RAM PUR,91603060401(PROCESSED),91603060708(PROCESSED),DURGA PUR,18,"Madhabpur,Hobigonj",38,161,125,163,165,145,163,161,163,0,0,26.2069,23.3129,TRUE
